Concept1,Concept2,PathLength,LikertScore,r1_t1_AtoB,r1_t1_BtoA,r1_t10_AtoB,r1_t10_BtoA,r1_t100_AtoB,r1_t100_BtoA,r5_t1_AtoB,r5_t1_BtoA,r5_t10_AtoB,r5_t10_BtoA,r5_t100_AtoB,r5_t100_BtoA,r9_t1_AtoB,r9_t1_BtoA,r9_t10_AtoB,r9_t10_BtoA,r9_t100_AtoB,r9_t100_BtoA
hauling,keyboard,4,1,0.0,0.0,0.157156196203467,0.019485275105259603,0.15918989058670788,0.0,0.0,0.0,0.17218910444815003,0.04420718704749982,0.29189380816979,0.07292625042081725,0.0,0.0,0.0038141470346906015,0.0006850269750445894,0.3177571734402932,0.08955278839640984
mammal,exercise,2,1,0.5638455133986512,0.0,1.051701166849687,0.809249661771544,0.0,0.0,0.2947542414159825,0.0,0.9216154333772798,0.667695028898408,0.9486445097600456,0.6202570230284105,0.017131528576753582,0.0,0.4315781748712591,0.23384470703823726,0.8928270449555566,0.5187246561995272
time,flight,3,4,7.183829500601448e-05,0.0,0.030412652279944385,0.9319951516454018,0.0,0.9317990717203392,1.7472149567175077e-05,0.0,0.1283900834960793,0.8715665368760224,0.1094572870673031,0.8336105624640225,9.202601819948753e-09,0.0,0.021958742282114002,0.09866115624944534,0.1674624213859903,0.8309094154971243
predator,prey,1,7,1.3798633022504614,11.253827693790585,0.1713205969973735,0.43603003439777954,0.1691437583890531,0.0,3.5874270074500414,6.250343487892316,0.8915560248693102,1.1219081590544364,0.32835478304849003,0.4012872267791848,1.2858418520298822,1.2500005157602812,5.753600121805976,5.515174566077787,0.5860243433710004,0.5382287416046665
apple,display,3,1,0.013245236460260159,0.0,0.1274043465611172,1.8194889387966466,0.12936200257806457,1.8784790381920629,0.001422109177981081,0.0,0.12451738150623758,0.9657611426314205,0.18244682612056445,1.6410489169322213,2.4133250983001e-06,0.0,0.006322251365423516,0.032877897371731524,0.18512354433055142,1.297070891226025
apple,comfortable,2,1,0.07281737334938046,0.0,0.14736369614544031,1.8464583196986617,0.14925595149634308,1.8784790381920637,0.0938945485216586,0.0,0.2180799232587025,1.4933167923707629,0.2554100878691428,1.6410489491337965,0.006668906380683354,0.0,0.15771896004933933,0.7081441202882489,0.29665878585818156,1.4083298234476065
gadget,education,3,2,0.01351537797285361,0.0,0.14994024556699231,0.6308658158610401,0.0,0.6268712630038586,0.008231537523032014,0.0,0.23485429295064436,0.5064317523755902,0.25555654743295375,0.5473181939451192,0.00011199135878405843,0.0,0.024341017642885807,0.032718780361270454,0.31703574405732976,0.5015531453016376
nutrition,banana,2,6,0.8067857142857142,0.0,0.24957232759768966,0.42329887052288706,0.0,0.0,0.6475970017636684,0.0,0.8388041356297283,1.768559607879708,0.2553176912649007,0.3647888188330841,0.043117283950617265,0.0,1.1299689156010668,1.5717483715583906,0.5223419543699084,0.7585694078732255
companion,competition,3,1,0.32189947760156895,0.0,1.0943360587890971,0.6081624137525523,1.0940718291110854,0.606925207001064,0.0811280774918618,0.0,0.9683536477519504,0.4224689929340334,1.0944231889697418,0.47432828485376033,0.0009096713612670911,0.0,0.099088332215254,0.026205940192452527,1.074008927036594,0.3903172072058431
color,anxiety,3,1,0.009626427542119204,0.0,0.4346175616521899,0.21849422786410488,0.4377952705768198,0.2188668469064102,0.001030023712785101,0.0,0.3689561636611223,0.1714648216864958,0.4378630542143709,0.21889174582748813,1.9945417347125602e-06,0.0,0.017045310195011612,0.008054517487804596,0.41814997140340604,0.20862846635719168
dog,seat,3,1,0.12616072821697344,0.0,0.15981381636688996,0.8953412684506012,0.0,0.8953718126978797,0.04381508885795656,0.0,0.31283841368237136,0.6692062687758924,0.29191963181022035,0.6567283226308743,0.000483436828075327,0.0,0.05112668852798357,0.045918026775650884,0.3805930618070872,0.5345848555173356
health,electronic,3,1,0.2255053448285204,0.0,0.3571374887431133,1.1002657479362679,0.0,1.104160610738188,0.03634274614011274,0.0,0.4050428142587287,0.7557542126165384,0.43789128611613837,0.8390991194702766,0.00025809061153219575,0.0,0.044138646576066705,0.049121363247908376,0.4719868786233613,0.6687084896432749
bicycle,wooden,3,2,0.0,0.0,0.029703654642551203,0.19791024681901437,0.0,0.0,0.0,0.0,0.0847770443312427,0.32608327113837376,0.10947043566528927,0.43780458893153557,0.0,0.0,0.0061933187078895115,0.018121721058673716,0.14705265816842478,0.5439134132742072
variety,knowledge,2,3,0.12372951001191358,0.0,0.40760462969091277,1.1107748976566243,0.0,1.1140097703481593,0.10056572997110567,0.0,0.553395530692068,0.7359017051599566,0.6203562170462845,0.8755395884526626,0.006402386336028735,0.0,0.16535233864934307,0.14704872901435656,0.7225855496134762,0.7153687233689746
technology,mechanical,1,6,0.8055126700393674,15.000000000000002,0.1493707044165693,0.5847021710046142,0.0,0.0,1.9478187354300112,8.333333333333334,0.45217866746681856,1.3666917023888001,0.25539371932787236,0.6567910104350348,0.6925490641142629,1.6666666666666665,2.9853424743342614,7.110495810680333,0.36316597557245534,0.8112311117340906
vocals,risk,3,1,0.0,0.0,0.08831853849815108,0.04856863404367573,0.08951503500607438,0.04962734321815049,0.0,0.0,0.2647927600889544,0.13674024681921695,0.3283188389252602,0.1821880971452518,0.0,0.0,0.03170719152427157,0.017819180590441748,0.42953752343393853,0.23784779350176777
sedan,plant,3,1,0.0,0.0,0.029206928816499722,0.39121768296844484,0.0,0.40784668676969116,0.0,0.0,0.08336848630700754,0.22299804971897524,0.109423896721524,0.3283425920741892,0.0,0.0,0.014760354591816913,0.02018856459709502,0.1376475835149068,0.2482522882910382
community,bicycle,3,2,0.02167223603283793,0.0,0.19772274759149863,0.5017092779391017,0.0,0.0,0.015481403530742904,0.0,0.3264667019876862,0.28809768724037915,0.43780458319574056,0.4013263184553615,0.00021240540965366373,0.0,0.024216118933027685,0.01025542396269712,0.5325658145566683,0.3135048565134832
strategy,two-wheeled,3,1,0.07152948393337134,0.0,0.45644142882831207,0.766857076864647,0.0,0.7659675169932376,0.015582763749118999,0.0,0.4627191129718798,0.759517555484053,0.5108268737859164,0.7661489846367693,0.00015185895736906548,0.0,0.059991409398128616,0.08177511291802037,0.532657496505266,0.756516249796298
depression,practice,3,1,0.0,0.004510867717188263,0.660272714014496,0.3151781416618973,0.0,0.0,0.0,0.0003967378118781373,0.5309811761563069,0.22420682014598917,0.6929989654109918,0.2918483827702779,0.0,5.845508202242039e-07,0.026899817505200353,0.009482593851769408,0.6635504298296115,0.25902124445565344
competition,keyboard,2,1,0.0002371259297075345,0.0,0.15965378686832998,1.0968234499417981,0.0,1.0940718291110856,1.203489653835893e-05,0.0,0.2941209640568129,1.0981677392904705,0.2918938105221417,1.094423188627106,3.052997151151405e-09,0.0,0.07793204359255115,0.21765964053280348,0.37591384235889275,1.1162364497887403
depression,transportation,3,1,0.0,0.016045953116061724,0.9301117559264592,0.3166821043925796,0.9351655161709599,0.0,0.0,0.0014341798374470226,0.6165806457275227,0.22658298074309194,0.8026664277644634,0.2918483816753703,0.0,2.161813040401667e-06,0.014603534662708856,0.005405494686847527,0.6809139416783259,0.2594898089597293
productivity tool,student,3,4,0.26426582935839904,0.05664335664335665,0.6273697170602874,0.6051906524848927,0.6276510235369522,0.6058761430143627,0.040398630698884865,0.009712509712509712,0.5062344328494445,0.4169691044486024,0.54763938650364,0.4738966650540601,0.0002928367344914696,7.770007770007765e-05,0.04078145595726684,0.02735452256471515,0.4912699745976314,0.3887614285974832
mammal,sadness,3,1,0.023380757615079323,0.0,0.0400259177097681,0.8081702355734827,0.0,0.8058697030582822,0.017622688637389968,0.0,0.13417169484837904,0.5322922060940771,0.1459282202822377,0.620257025757008,0.00022775622494603128,0.0,0.022202690456148477,0.03550983325936445,0.20581764680039935,0.5076004206125843
data,satisfaction,3,2,0.0,0.0,0.04953314110376422,0.22821351913653154,0.0,0.228653337475716,0.0,0.0,0.1458016105820712,0.19272313184513798,0.18244891990795198,0.25515470510668287,0.0,0.0,0.01338904455199549,0.01319753327581597,0.24560452865497664,0.25606192499756464
reptile,cache,4,1,0.01423122947181688,0.0,0.22770777319981378,0.3082669625420257,0.22880184880469123,0.0,0.0011932942189643472,0.0,0.20111298857779228,0.2191017738966879,0.2553901005860305,0.29185987629074467,1.6752508194322088e-06,0.0,0.0055754701596117655,0.006912399207184214,0.2498143748298484,0.25333549750849155
love,educator,3,2,0.009051478794642853,0.0,0.07899742465700588,0.6087989307498033,0.0796180956437137,0.0,0.007411411830357143,0.0,0.21538869783054726,0.355679340481277,0.29193960548627834,0.5107742977010338,0.00010170200892857137,0.0,0.01949382699584608,0.01507629734888361,0.37897846957574655,0.4094017380931532
nutrition,dessert,2,4,0.13813402346938775,0.0,0.1477755165708191,0.4160233337455025,0.0,0.0,0.09036865131855212,0.0,0.4699857755061122,0.9092811306510867,0.21883147344159393,0.36478880308499007,0.005013328382464095,0.0,0.2924842405350771,0.3909026827236646,0.40976357240414785,0.6008585968615715
cycle,performance,3,2,0.09844729585296653,0.006035790280032467,0.8607307442472307,0.3665755056515036,0.8661676081700681,0.3670383796316764,0.012852123001375147,0.0005625959808902518,0.6682086955786675,0.3767169796557321,0.8394573395875666,0.47380962488356837,7.685780185069915e-05,8.849669813211473e-07,0.032491038718466876,0.02011688230449789,0.7758646557772941,0.5045941241497945
player,plant,3,1,0.0,0.0,0.029459332098214774,0.4971825299786677,0.0,0.49745754477930076,0.0,0.0,0.09018096149968907,0.5282490175610308,0.10942389901569444,0.6567310926301266,0.0,0.0,0.006090635139550389,0.032393525185005115,0.14859929614341316,0.7160655521470696
computer,cycling,2,1,0.1395306508819591,0.0252051179729206,0.35791707100486025,1.6621539762986497,0.35800834392537084,0.0,0.047939327108265845,0.0023129052504160066,0.45957328107289447,1.4742473659278716,0.4377603453868731,1.4227669241839709,0.0021226078353777343,3.5734118512643665e-06,0.1607266218815649,0.4005555487387323,0.49126741857659734,1.3039172811322426
classes,potassium,3,1,0.0038755241577661066,0.0035246728897578663,0.12817244981084436,1.096625599373405,0.12929842197609712,0.0,0.0016969354251564685,0.00013819977136219892,0.12862791776101345,0.5964297088731941,0.18239114660355663,0.839111831649917,1.7030537438987903e-05,3.059804063715703e-08,0.004075229561581245,0.010424195510219805,0.19521977363416437,0.6286665621198811
joy,skill,2,2,0.731157835276968,0.27951085166473394,1.2066322978414674,0.3400052880198582,1.2036905960219446,0.3382838798549169,0.22396086410754779,0.0767220903962383,1.3009885497737217,0.40102533700281634,1.2039720904199673,0.36486335312953266,0.008929749757045672,0.00286719059262079,0.6391049352367622,0.20213780186226651,1.24206845976569,0.39275614819508253
desk,cache,3,1,0.0,0.0,0.22969867587833548,0.5275929817009838,0.0,0.0,0.0,0.0,0.22592404197260196,0.4335407556164334,0.25539010038797183,0.47437055733550426,0.0,0.0,0.019504473350377166,0.03415679467224174,0.26780702600384965,0.4388880771322285
two-wheeled,rhythm,3,1,0.0008010989010988996,0.0,0.06956150818417917,0.4595696945864076,0.06964114641299168,0.0,0.00038156288156288156,0.0,0.19611386296359723,0.38130590857629887,0.2553966351368122,0.5108268782598188,1.098901098901098e-06,0.0,0.008720838996136368,0.011505309702085458,0.34461145895261525,0.5140260270050007
tamed,sadness,3,1,0.001727282559670246,0.0,0.04023530368973416,0.4336259885892763,0.0,0.42765039080314415,0.0006389123002694184,0.0,0.16763807282461735,0.42996266928370985,0.14592822070058753,0.4012812766081424,1.4739289060128904e-06,0.0,0.017353251557823624,0.023815828702608503,0.22449902592323984,0.4174841371332336
players,panic,2,1,0.4446910824979109,0.5747359153846154,0.8181292243090017,1.0370039232931445,0.8157129353095663,1.0347078558792906,0.12627400570130098,0.17261968355718355,0.6608208559372138,0.8571217305659042,0.656685928679135,0.8756659479517139,0.004803028829202062,0.006714285754985752,0.13761397045873733,0.18727590164608576,0.571247279558415,0.7920025170504487
automobile,seat,3,6,0.004360483623519335,0.0,0.15704041892900378,0.6572374569692755,0.0,0.0,0.0015108004319313842,0.0,0.21180486441630242,0.4827389799765734,0.29191963145456523,0.6567994642169805,4.185530078387218e-06,0.0,0.013016393391336735,0.021166217526296216,0.337542539235951,0.6024516907616633
hazard,winner,3,1,0.0,0.0,0.03962694660820232,0.3395600681571854,0.0,0.0,0.0,0.0,0.1138682904123825,0.3006662231754399,0.14593989716127415,0.3648041665654009,0.0,0.0,0.00700450658368762,0.013732825797024837,0.19895860728072118,0.36555079681362335
balance,improvement,3,3,0.0,0.0,0.09968144899802889,0.35941898742796574,0.1001441351694935,0.3581157721618584,0.0,0.0,0.3242430388523873,0.38966001480712503,0.36619640367063616,0.4378034391931463,0.0,0.0,0.04445672168299118,0.03464309755108632,0.5081083352779957,0.4749238235550159
design,happiness,3,3,0.0,0.0,0.04966421049342368,0.6333430056853477,0.0,0.6376723232595161,0.0,0.0,0.15935101899373738,0.4855680081766792,0.18241441758878565,0.5841626921452622,0.0,0.0,0.020265698882890364,0.039336363535491886,0.2502986388440149,0.5327145270379725
keyboard,responsibilities,3,1,0.0,0.0,0.06963470274300176,0.15858482666926085,0.0,0.15918989058670785,0.0,0.0,0.20508949024366463,0.22037670455066025,0.2553904006137787,0.2918938103724237,0.0,0.0,0.014452815952873597,0.015160016838972659,0.3474427603527898,0.3520476153014077
irrational fear,activities,3,2,0.008525748678633358,0.0,0.08887208499435806,0.20633924958746097,0.0,0.20891594485217976,0.007288381162050628,0.0,0.24901309686027406,0.1307268957986763,0.3282946403116182,0.18242208816346775,0.00010489553520504,0.0,0.023395955323223527,0.006889968272890034,0.4293640859925853,0.15323694007172092
career,automobile,3,1,0.05417324965467778,0.0991516211061666,0.6566553142006659,1.1050760841805143,0.0,1.115150376371129,0.004906414002009983,0.015584373538918995,0.540068735023924,0.6695183280196575,0.6567994576276275,0.8760089465965021,7.420991003827068e-06,0.00011377006831552281,0.02017225990598855,0.02240748634240332,0.6155719396622734,0.6888175272733322
bike,cycling,3,7,0.05038652541305563,0.001591027560397256,0.35729143977756295,0.7022128366902456,0.3580083439253711,0.7063462327814432,0.007491365021248134,8.026275142076903e-05,0.36478589447327936,0.4333175116094324,0.4377603435459567,0.547272519963894,5.159551176986692e-05,2.455780564046497e-08,0.014042885266589767,0.010154107349422667,0.46108299243407463,0.43281137996396074
health,melody,3,1,0.09473775723122714,0.0,0.23811699268419906,1.1195885782328225,0.2387074107238356,1.104160610738188,0.02782481196363624,0.0,0.26686085185526787,0.7889900894443108,0.2918442474552293,0.839099141116703,0.0003125743508779507,0.0,0.03265512163086258,0.048565554523578004,0.32195956035205486,0.6870055795175407
lyrics,desk,3,1,0.0011415134144701453,0.0,0.5244288670202846,0.3052921849375141,0.5274287987045937,0.3081390571268698,5.6909236596736594e-05,0.0,0.3540626691193095,0.18132371210488984,0.4743705575613811,0.2552819883777514,1.7090281513358416e-08,0.0,0.014945953278125786,0.006218326414312873,0.4082491164675901,0.20619886505029075
red,functional,4,1,0.00019421377299231384,0.0,0.27489126677900594,0.11830623329580012,0.27856918184869894,0.0,3.0899730623370077e-06,0.0,0.29116030140726323,0.09414872904395362,0.4378264031717858,0.1459164660480518,3.867254774284247e-11,0.0,0.005476664977904813,0.0014345946909949617,0.4778938292069836,0.14542503930343617
game,technology,2,4,0.1363813057669815,0.0,0.5767196219112066,1.620196493022425,0.5771549825848137,1.621270715091948,0.04992862198586755,0.0,0.5758243167415592,1.120064928288969,0.6567910058766644,1.2768307654826938,0.002306643508962067,0.0,0.08862361682505637,0.1239598585660957,0.6846122071593823,1.0498101491894274
competition,citrus,4,1,0.0,0.00115854021324087,0.20353776072350244,1.0919381738687262,0.2088018164676059,1.0940718291110842,0.0,2.7872838520528037e-05,0.1266746378130879,0.802661516590668,0.1823724102452138,1.0944231825278194,0.0,1.4705563930145441e-09,0.002379197827134473,0.014877688236161328,0.15179670548345886,0.9996245193847751
input,job,2,3,0.1576985355671307,0.007330824891423513,0.7662068436486021,0.8236089482685401,0.0,0.825567663942667,0.02241241092199794,0.0006649230155216357,0.681403174776579,0.6086769851742238,0.7664940763886895,0.6931446570712531,0.00014881714305621928,1.0114508957853105e-06,0.1334053802592238,0.10309130310379144,0.7486268785013608,0.6019550674110833
four-legged,ram,4,5,0.0,0.0,0.42221766501161595,0.12750996738677284,0.4277907334525692,0.0,0.0,0.0,0.2576967396812103,0.1165381687620261,0.4012930462292481,0.1824304083178042,0.0,0.0,0.00571271102317573,0.0020766486842490437,0.3407671874955404,0.18844319680683727
office,vocals,3,1,0.0007431551875584771,0.0,0.049547830459704845,0.8315630850254945,0.0,0.0,0.0003350210654344504,0.0,0.14974457941723143,0.5538906835986394,0.18218809819567772,0.7297277253970375,9.178688125852636e-07,0.0,0.013892893271422,0.026489344575343302,0.24717426702231576,0.635675957026205
canine,competition,3,1,0.6128722823354675,0.027190421316964294,1.0998712852637968,0.42008024930810556,1.0940718291110867,0.4178974509179168,0.10031717473152851,0.004292375406470458,1.2303772783111424,0.4118253974674722,1.094423189018506,0.3648709776902222,0.0007696650026337519,3.1539592978395035e-05,0.15702042233982805,0.04277104581054124,1.1612236903863042,0.35461648434561405
tournament,pedals,3,1,0.05979382087674922,0.0,0.5255115880318731,0.4362626304581049,0.527343772013062,0.4377344602568219,0.008627413294111033,0.0,0.3545757690843935,0.32118790653140866,0.4743212601127832,0.4378377270258827,5.894378370866526e-05,0.0,0.01208086341456983,0.010583003741749432,0.4117782334287456,0.4062693876768455
game,design,3,5,0.18545572813341005,0.013879038461538463,0.6378537780834714,1.620205366483447,0.0,1.6212707150919472,0.027995205542439693,0.0013221153846153847,0.5160899434170925,1.1301693752857076,0.5841626933841771,1.276830767609905,0.0002017056459532849,2.1153846153846134e-06,0.040771904822592506,0.0726280854938516,0.5404025323773908,1.0526465796311324
pet,portable,3,1,0.02289865062676788,0.0,0.03976019528386798,0.6104972569318048,0.0,0.0,0.017689136962721765,0.0,0.14031006854022438,0.4737673254226796,0.1459453236327449,0.5107549386082304,0.00023390401551489812,0.0,0.02435832413177311,0.034821960882753106,0.2046366812937245,0.44262223851575616
banana,football,4,1,0.005300675905478456,0.0,0.18345682077599346,0.21938091204590693,0.18901981210036456,0.0,0.00029559549530950197,0.0,0.2192119190146338,0.13273659562289242,0.40132495389946693,0.25531762991101786,9.643320795734238e-08,0.0,0.003379154535214238,0.001826825354203919,0.4321810892554299,0.2222395772479515
advancement,team,1,4,1.8545097820486252,5.03641491261292,1.3443248873670295,0.8169002249215596,0.0,0.0,2.655782718464212,2.7830503672404165,1.2395118767377582,0.7969339802121518,1.1310437154964545,0.6570176772498861,0.9011915978311428,0.5555926053565032,3.7021044396069054,2.2632301006341944,1.0344565439490985,0.5810867286811866
equipment,cycle,2,2,0.5567713858951757,1.0573823029507807,0.36618241256902784,1.5395525722613346,0.36703837963167635,1.5426227472264007,0.2512403691326755,0.30267551000767223,0.4893145800149519,1.3620938278821033,0.47380962748469646,1.2771848019261474,0.013134173233764916,0.011296691038666195,0.3281403820270165,0.655315556827502,0.534298877244434,1.1218168839970377
apple,programmable,3,1,0.009869522395024047,0.0,0.03967051731653132,1.8646694260153642,0.0,1.8784790381920633,0.007528892210404455,0.0,0.1433568514883852,1.6021172322236716,0.14594349238954407,1.6410489719647505,9.569244360218988e-05,0.0,0.028898530987718045,0.17187441826580846,0.20519977350045712,1.4870295011016086
breeds,classes,1,5,2.8412851307441165,7.875000000000001,1.105696710099878,0.61811691344608,1.1041967923641696,0.616718825134504,3.479808412715031,4.282407407407407,1.0889654973156224,0.789517711457795,0.8391118362030534,0.5107489518618752,1.1332922205549325,0.8379629629629629,4.739574564094127,3.469304947257228,0.7350527167890829,0.4848947961195882
